num_transactions,unique_tokens,total_amount,avg_value,recent_txn_days,wallet
100,0,544294.9825737586,5442.949825737585,39,0x0039f22efb07a647557c7c5d17854cfd6d489ef3
3,0,1.4159257353e-08,4.719752451e-09,1744,0x06b51c6882b27cb05e712185531c1f74996dd988
3,0,1.4104157468000001e-08,4.701385822666667e-09,1704,0x0795732aacc448030ef374374eaae57d2965c16c
57,0,57423264472.32655,1007425692.4969571,311,0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9
3,0,1.4155726348e-08,4.718575449333333e-09,1739,0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae
3,0,1.4075894066e-08,4.691964688666667e-09,1683,0x104ae61d8d487ad689969a17807ddc338b445416
4,0,2.8269250788e-08,7.067312697e-09,1723,0x111c7208a7e2af345d36b6d4aace8740d61a3078
5,0,1.4202611595000001e-08,2.8405223190000003e-09,1721,0x124853fecb522c57d9bd5c21231058696ca6d596
3,0,1.407807832e-08,4.692692773333333e-09,1685,0x13b1c8b0e696aff8b4fee742119b549b605f3cbc
100,0,3059.5082195641426,30.595082195641425,1500,0x1656f1886c5ab634ac19568cd571bc72f385fdf7
4,0,0.11206178027601858,0.028015445069004646,1490,0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22
17,0,5854.99029212416,344.41119365436236,59,0x19df3e87f73c4aaf4809295561465b993e102668
3,0,1.4126260391000001e-08,4.708753463666667e-09,1715,0x1ab2ccad4fc97c9968ea87d4435326715be32872
40,0,1050.264424967041,26.256610624176023,1425,0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f
2,0,6.8557172e-11,3.4278586e-11,1686,0x1e43dacdcf863676a6bec8f7d6896d6252fac669
100,0,45903.193825045426,459.03193825045423,1252,0x22d7510588d90ed5a87e0f838391aaafa707c34b
3,0,1.4129654311e-08,4.709884770333334e-09,1717,0x24b3460622d835c56d9a4fe352966b9bdc6c20af
4,0,0.06000001407814334,0.015000003519535836,1685,0x26750f1f4277221bdb5f6991473c6ece8c821f9d
3,0,1.4136355996e-08,4.712118665333334e-09,1722,0x27f72a000d8e9f324583f3a3491ea66998275b28
3,0,1.4076187639000001e-08,4.692062546333333e-09,1683,0x2844658bf341db96aa247259824f42025e3bcec2
3,0,1.4143739434e-08,4.7145798113333335e-09,1728,0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e
79,0,3349691.3806777797,42401.15671744025,625,0x330513970efd9e8dd606275fb4c50378989b3204
61,0,166925.36681811485,2736.4814232477843,1919,0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97
3,0,1.4079010971e-08,4.693003657e-09,1686,0x3867d222ba91236ad4d12c31056626f9e798629c
3,0,1.4153296586000001e-08,4.717765528666667e-09,1737,0x3a44be4581137019f83021eeee72b7dc57756069
4,0,2.8254815829e-08,7.06370395725e-09,1716,0x3e69ad05716bdc834db72c4d6d44439a7c8a902b
100,0,10559.017096459758,105.59017096459758,90,0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65
100,0,1743.7632605816452,17.437632605816454,1581,0x4814be124d7fe3b240eb46061f7ddfab468fe122
17,0,3543.839490482267,208.46114649895688,1628,0x4839e666e2baf12a51bf004392b35972eeddeabf
2,0,2.3911123e-11,1.19555615e-11,1681,0x4c4d05fe859279c91b074429b5fc451182cec745
88,0,18421.06141428073,209.33024334409922,1451,0x4d997c89bc659a3e8452038a8101161e7e7e53a7
3,0,1.4109681752000001e-08,4.703227250666667e-09,1706,0x4db0a72edb5ea6c55df929f76e7d5bb14e389860
3,0,1.4077566245e-08,4.692522081666667e-09,1685,0x4e61251336c32e4fe6bfd5fab014846599321389
5,0,181.1275568341476,36.22551136682952,1544,0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210
26,0,601214092.7610147,23123618.95234672,1211,0x507b6c0d950702f066a9a1bd5e85206f87b065ba
14,0,1.9716320521e-08,1.408308608642857e-09,2198,0x54e19653be9d4143b08994906be0e27555e8834d
3,0,1.4118764161e-08,4.706254720333334e-09,1710,0x56ba823641bfc317afc8459bf27feed6eb9ff59f
4,0,2.69667063413976,0.67416765853494,1050,0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f
3,0,1.4113081889e-08,4.704360629666667e-09,1708,0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787
3,0,1.4139070046e-08,4.7130233486666665e-09,1725,0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86
31,0,2500202078.5416503,80651679.95295647,178,0x58d68d4bcf9725e40353379cec92b90332561683
3,0,1.4117473633e-08,4.7058245443333334e-09,1709,0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb
76,0,76431.41652609674,1005.676533238115,1088,0x612a3500559be7be7703de6dc397afb541a16f7f
40,0,2465659.979059163,61641.499476479075,322,0x623af911f493747c216ad389c7805a37019c662d
7,0,1.7773159340253104,0.25390227628933004,351,0x6a2752a534faacaaa153bffbb973dd84e0e5497b
3,0,1.4140067962e-08,4.7133559873333336e-09,1726,0x6d69ca3711e504658977367e13c300ab198379f1
12,0,0.1654573482419147,0.013788112353492891,1703,0x6e355417f7f56e7927d1cd971f0b5a1e6d538487
